id_transacao,data_emissao,data_vencimento,data_pagamento,status_pagamento,produto,cliente_segmento,canal_venda,risco_credito,valor_bruto,desconto,custo_operacional,data_referencia,lucro_liquido,Nome_mes,mes
164,2023-05-12,2023-08-10,,Em atraso,Financiamento,PJ,Agência,Alto,1664.265,50.0,484.6,2023-08-10,1129.665,May,2023-05
165,2023-03-30,2023-04-29,,Vencido,Crédito Pessoal,PJ,Representante,Baixo,23546.83,0.0,267.73,2023-04-29,23279.100000000002,March,2023-03
166,2024-01-22,2024-02-21,,Em atraso,Crédito Pessoal,PJ,Representante,Alto,0.0,50.0,165.65,2024-02-21,0.0,January,2024-01
167,2023-07-11,,,pago,Crédito Pessoal,PJ,Agência,Baixo,4463.86,50.0,120.63,,4293.23,July,2023-07
168,2023-02-09,2023-05-10,,Em atraso,Crédito Pessoal,PF,Online,Alto,19524.38,50.0,267.73,2023-05-10,19206.65,February,2023-02
169,2024-02-26,2024-04-26,2024-04-25,pago,Financiamento,PF,Online,Médio,15816.12,100.0,371.18,2024-04-26,15344.94,February,2024-02
170,2023-08-13,2023-10-12,,Vencido,Crédito Pessoal,PJ,Representante,Alto,10631.1,50.0,267.73,2023-10-12,10313.37,August,2023-08
171,2023-09-09,2023-10-09,,Vencido,Financiamento,PF,Online,Médio,0.0,0.0,267.73,2023-10-09,0.0,September,2023-09
172,2023-03-03,2023-06-01,,Em atraso,Financiamento,PF,Online,Alto,0.0,100.0,180.24,2023-06-01,0.0,March,2023-03
173,2023-01-30,2023-04-30,,Em atraso,Consórcio,PJ,Agência,Alto,24472.19,50.0,267.73,2023-04-30,24154.46,January,2023-01
174,2023-04-06,2023-07-05,2023-07-05,pago,Consórcio,PF,Agência,Médio,22825.94,100.0,284.74,2023-07-05,22441.199999999997,April,2023-04
175,2023-12-31,2024-02-29,,Em atraso,Cartão de Crédito,PF,Agência,Médio,15136.1,50.0,325.59,2024-02-29,14760.51,December,2023-12
176,2023-10-26,2024-01-24,,Em atraso,Crédito Pessoal,PF,Representante,Alto,1664.265,50.0,267.73,2024-01-24,1346.535,October,2023-10
177,2023-02-16,2023-03-18,2023-03-11,pago,Financiamento,PF,Representante,Baixo,1664.265,100.0,267.73,2023-03-18,1296.535,February,2023-02
178,2023-10-22,2023-11-21,,Vencido,Crédito Pessoal,PJ,Agência,Alto,0.0,0.0,267.73,2023-11-21,0.0,October,2023-10
179,2023-10-23,2023-11-22,,Vencido,Seguro,PF,Online,Médio,1664.265,50.0,59.31,2023-11-22,1554.9550000000002,October,2023-10
180,2023-04-25,2023-06-24,,Em atraso,Crédito Pessoal,PF,Agência,Alto,0.0,0.0,267.73,2023-06-24,0.0,April,2023-04
181,2023-09-25,2023-11-24,2023-11-23,pago,Crédito Pessoal,PJ,Online,Alto,8962.28,50.0,267.73,2023-11-24,8644.550000000001,September,2023-09
182,2023-02-26,2023-03-28,2023-03-22,Pago,Financiamento,PF,Representante,Alto,1664.265,50.0,123.95,2023-03-28,1490.315,February,2023-02
183,2024-04-25,,,pago,Seguro,PF,Representante,Alto,1664.265,0.0,267.73,,1396.535,April,2024-04
184,2024-01-02,,,Vencido,Cartão de Crédito,PF,Agência,Alto,1664.265,0.0,267.73,,1396.535,January,2024-01
185,2023-12-06,2024-01-05,,Vencido,Cartão de Crédito,PJ,Agência,Baixo,2992.93,0.0,267.73,2024-01-05,2725.2,December,2023-12
186,2024-05-11,,,pago,Consórcio,PJ,Representante,Baixo,15940.32,0.0,267.73,,15672.59,May,2024-05
187,2023-03-04,2023-04-03,2023-03-31,pago,Cartão de Crédito,PJ,Agência,Baixo,0.0,0.0,267.73,2023-04-03,0.0,March,2023-03
188,2023-02-13,,,Em atraso,Cartão de Crédito,PJ,Representante,Alto,1664.265,50.0,159.53,,1454.7350000000001,February,2023-02
189,2024-01-15,2024-04-14,2024-04-05,pago,Financiamento,PF,Representante,Alto,17462.41,50.0,267.73,2024-04-14,17144.68,January,2024-01
190,2023-11-10,,,pago,Cartão de Crédito,PF,Agência,Alto,20524.85,50.0,267.73,,20207.12,November,2023-11
191,2023-01-07,2023-04-07,,Em atraso,Consórcio,PJ,Representante,Alto,21588.07,100.0,178.17,2023-04-07,21309.9,January,2023-01
